"Pr.SPAM","Pr.HAM","Class","Type"
0,0,FALSE,"EASYHAM"
1.05064756890969e-241,1.70851439245174e-145,FALSE,"EASYHAM"
0,5.82067791067503e-226,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
1.47925783644011e-165,9.55964369729421e-109,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
2.33961539899373e-250,3.81361867937845e-132,FALSE,"EASYHAM"
0,3.94114073861522e-303,FALSE,"EASYHAM"
3.32250560225434e-290,1.75906426341308e-183,FALSE,"EASYHAM"
5.00465630459542e-135,8.83769092976284e-75,FALSE,"EASYHAM"
2.38737117601984e-49,1.43207729586049e-24,FALSE,"EASYHAM"
7.27593455719959e-246,4.72394947388358e-147,FALSE,"EASYHAM"
1.06701310356461e-52,7.07634619288381e-38,FALSE,"EASYHAM"
0,4.63310500765716e-307,FALSE,"EASYHAM"
2.02317769750742e-213,9.74987111276868e-182,FALSE,"EASYHAM"
0,4.63310500765716e-307,FALSE,"EASYHAM"
0,4.39295307925846e-249,FALSE,"EASYHAM"
4.69563155554126e-130,1.55385817278494e-101,FALSE,"EASYHAM"
2.18179937925112e-54,1.4116689575539e-43,FALSE,"EASYHAM"
2.11660814158436e-303,1.77114144694383e-228,FALSE,"EASYHAM"
1.10788438188207e-133,7.88323215647355e-105,FALSE,"EASYHAM"
7.33350319792559e-224,8.07998953794862e-160,FALSE,"EASYHAM"
8.73938678350039e-203,2.83401608194799e-116,FALSE,"EASYHAM"
1.30063650444765e-143,7.32384963089167e-115,FALSE,"EASYHAM"
1.15943714504381e-248,1.37324534429522e-184,FALSE,"EASYHAM"
1.13216734570401e-193,6.17805385003744e-150,FALSE,"EASYHAM"
9.9548988796921e-273,2.18550252089957e-242,FALSE,"EASYHAM"
1.20702010600455e-202,9.73421706502602e-174,FALSE,"EASYHAM"
8.95020676075217e-198,2.10531787329279e-167,FALSE,"EASYHAM"
8.00285145154832e-219,3.55036137539606e-160,FALSE,"EASYHAM"
4.16364089124779e-126,5.89031084359996e-79,FALSE,"EASYHAM"
0,1.47973873586977e-275,FALSE,"EASYHAM"
8.69589500003184e-116,5.08232980683382e-90,FALSE,"EASYHAM"
2.62002834080718e-183,7.98436097075528e-140,FALSE,"EASYHAM"
2.42570465835153e-212,1.90217836509505e-151,FALSE,"EASYHAM"
1.06161508295052e-268,1.06144489672199e-205,FALSE,"EASYHAM"
1.81964379981447e-139,1.00866609813484e-104,FALSE,"EASYHAM"
1.5260616516601e-191,2.61545059574075e-149,FALSE,"EASYHAM"
1.40426745288783e-205,4.67015790135356e-136,FALSE,"EASYHAM"
2.88827146561477e-148,1.58162972956416e-111,FALSE,"EASYHAM"
8.18666699706849e-20,6.50975219186518e-22,TRUE,"EASYHAM"
0,0,FALSE,"EASYHAM"
3.47267881788751e-192,3.56987308277104e-158,FALSE,"EASYHAM"
2.92441388448598e-154,2.04694292461747e-111,FALSE,"EASYHAM"
0,0,FALSE,"EASYHAM"
