"term","frequency","density","occurrence"
"able",158,0.000487813914428795,0.0464
"actually",269,0.000830518626464214,0.0808
"ago",165,0.000509425923295893,0.0472
"aug",217,0.000669972274880053,0.0592
"can",1873,0.00578275608686793,0.374
"chris",154,0.000475464195076167,0.0332
"code",274,0.000845955775654998,0.0712
"com",4070,0.0125658394412987,0.6964
"comes",78,0.00024081952737624,0.0268
"command",95,0.000293305834624908,0.0224
"compiled",37,0.000114234904011806,0.012
"created",54,0.000166721211260474,0.0188
"cvs",143,0.000441502466856441,0.0356
"cwg",52,0.00016054635158416,0.0168
"date",850,0.00262431536243339,0.314
"dated",26,8.02731757920801e-05,0.0104
"day",248,0.000765682599862918,0.0696
"debug",42,0.000129672053202591,0.008
"deepeddy",66,0.000203770369318357,0.0168
"delta",17,5.24863072486678e-05,0.0044
"error",216,0.000666884845041896,0.0512
"every",279,0.000861392924845783,0.0728
"exec",24,7.40983161157663e-05,0.0064
"exmh",1015,0.00313374128572928,0.0648
"explicit",9,2.77868685434123e-05,0.0036
"expression",24,7.40983161157663e-05,0.0064
"fad",11,3.39617282197262e-05,0.0032
"fail",30,9.26228951447078e-05,0.0096
"form",97,0.000299480694301222,0.0288
"ftoc",63,0.000194508079803886,0.0084
"ftp",103,0.000318005273330164,0.012
"fuchsia",1,3.08742983815693e-06,4e-04
"garrigues",57,0.000175983500774945,0.0184
"get",1190,0.00367404150740674,0.2824
"hand",114,0.00035196700154989,0.0352
"happening",15,4.63114475723539e-05,0.0056
"haven",90,0.000277868685434123,0.0336
"hit",134,0.000413715598313028,0.0296
"hits",31,9.57103249828648e-05,0.0096
"https",608,0.00187715734159941,0.1752
"ict",1,3.08742983815693e-06,4e-04
"inbox",49,0.000151284062069689,0.0112
"int",54,0.000166721211260474,0.006
"issue",167,0.000515600782972207,0.0548
"kre",33,0.000101885184659179,0.0124
"lbrace",8,2.46994387052554e-05,8e-04
"like",1083,0.00334368651472395,0.2568
"line",439,0.00135538169895089,0.0888
"list",2203,0.00680160793345971,0.378
"listinfo",957,0.00295467035511618,0.3456
"listman",177,0.000546475081353776,0.0652
"local",196,0.000605136248278758,0.0464
"log",217,0.000669972274880053,0.0528
"mailing",826,0.00255021704631762,0.2944
"mailman",677,0.00209019000043224,0.2416
"mar",4,1.23497193526277e-05,0.0012
"marking",6,1.85245790289416e-05,0.0024
"mercury",7,2.16120088670985e-05,0.0016
"message",742,0.00229087293991244,0.1976
"mhparam",1,3.08742983815693e-06,4e-04
"nmh",32,9.87977548210217e-05,0.0064
"note",71,0.000219207518509142,0.0268
"obviously",44,0.000135846912878905,0.016
"one",1296,0.00400130907025138,0.27
"part",248,0.000765682599862918,0.0688
"pick",91,0.00028095611527228,0.022
"pickmsgs",1,3.08742983815693e-06,4e-04
"popup",8,2.46994387052554e-05,0.002
"profile",16,4.93988774105108e-05,0.0052
"rbrace",8,2.46994387052554e-05,8e-04
"reach",58,0.000179070930613102,0.0172
"redhat",555,0.0017135235601771,0.0944
"relevant",32,9.87977548210217e-05,0.0108
"repeatable",1,3.08742983815693e-06,4e-04
"repository",46,0.000142021772555219,0.0136
"reproduce",12,3.70491580578831e-05,0.0048
"routing",18,5.55737370868247e-05,0.004
"run",384,0.00118557305785226,0.0896
"search",129,0.000398278449122244,0.0256
"sel",27,8.33606056302371e-05,0.0028
"seq",31,9.57103249828648e-05,0.006
"sequence",78,0.00024081952737624,0.0136
"since",348,0.00107442558367861,0.1072
"still",434,0.00133994454976011,0.132
"subject",410,0.00126584623364434,0.1292
"sun",122,0.000376666440255145,0.0308
"syntax",20,6.17485967631386e-05,0.006
"think",662,0.00204387855285989,0.1684
"time",937,0.00289292175835304,0.2364
"tkerror",1,3.08742983815693e-06,4e-04
"tmda",53,0.000163633781422317,0.008
"today",220,0.000679234564394524,0.0612
"using",511,0.00157767664729819,0.1436
"version",376,0.001160873619147,0.0964
"vircio",74,0.000228469808023613,0.016
"wed",145,0.000447677326532755,0.0508
"without",293,0.00090461694257998,0.0848
"workers",276,0.000852130635331312,0.0412
"works",177,0.000546475081353776,0.056
"admiring",1,3.08742983815693e-06,4e-04
"alexander",3,9.26228951447078e-06,0.0012
"amphitheatre",1,3.08742983815693e-06,4e-04
"athos",1,3.08742983815693e-06,4e-04
"behind",61,0.000188333220127573,0.0196
"car",41,0.000126584623364434,0.0116
"click",436,0.00134611940943642,0.1684
"community",85,0.000262431536243339,0.026
