"term","frequency","density","occurrence"
"access",106,0.000530461501506311,0.11
"affordable",16,8.00696606047261e-05,0.022
"align",1909,0.00955331138090138,0.358
"arial",1297,0.00649064686277061,0.308
"best",172,0.000860748851500806,0.196
"black",145,0.00072563129923033,0.076
"body",507,0.00253720737041226,0.444
"bold",31,0.000155134967421657,0.036
"border",1375,0.00688098645821865,0.346
"bordercolor",210,0.00105091429543703,0.17
"btamail",37,0.000185161090148429,0.048
"buying",26,0.00013011319848268,0.042
"calyprintheader",1,5.00435378779538e-06,0.002
"calypso",4,2.00174151511815e-05,0.002
"can",548,0.00274238587571187,0.36
"cellpadding",496,0.00248215947874651,0.282
"cellspacing",503,0.00251718995526108,0.282
"center",1593,0.00797193558395804,0.39
"charset",260,0.0013011319848268,0.348
"click",431,0.00215687648253981,0.49
"coins",1,5.00435378779538e-06,0.002
"color",2277,0.0113949135748101,0.38
"colspan",427,0.00213685906738863,0.182
"companies",86,0.000430374425750403,0.094
"compare",27,0.000135117552270475,0.03
"complete",93,0.000465404902264971,0.058
"content",765,0.00382833064766347,0.394
"copperplate",3,1.50130613633861e-05,0.002
"country",114,0.000570496331808674,0.106
"coverage",16,8.00696606047261e-05,0.022
"dblack",3,1.50130613633861e-05,0.004
"dcenter",131,0.000655570346201195,0.024
"dcontent",12,6.00522454535446e-05,0.024
"dgenerator",7,3.50304765145677e-05,0.014
"display",15,7.50653068169307e-05,0.014
"disregard",7,3.50304765145677e-05,0.008
"dleft",11,5.50478916657492e-05,0.006
"dmiddle",26,0.00013011319848268,0.02
"dnone",1,5.00435378779538e-06,0.002
"doctype",35,0.000175152382572838,0.07
"dollars",134,0.000670583407564581,0.118
"dtd",33,0.000165143674997248,0.066
"dth",2,1.00087075755908e-05,0.002
"dtop",2,1.00087075755908e-05,0.004
"dverdana",7,3.50304765145677e-05,0.004
"dwindows",31,0.000155134967421657,0.062
"eas",1,5.00435378779538e-06,0.002
"email",619,0.00309769499464534,0.506
"end",45,0.000225195920450792,0.062
"ensurin",1,5.00435378779538e-06,0.002
"equiv",163,0.000815709667410647,0.24
"error",64,0.000320278642418904,0.12
"eve",3,1.50130613633861e-05,0.006
"even",97,0.000485422317416152,0.126
"face",2336,0.01169017044829,0.364
"family",386,0.00193168056208902,0.17
"fast",36,0.000180156736360634,0.058
"financial",130,0.0006505659924134,0.124
"font",9287,0.0464754336272557,0.426
"free",737,0.0036882087416052,0.454
"get",434,0.0021718895439032,0.344
"gothic",11,5.50478916657492e-05,0.01
"head",363,0.00181658042496972,0.366
"height",1717,0.00859247545364467,0.282
"help",171,0.00085574449771301,0.184
"helvetica",663,0.00331788656130834,0.194
"href",918,0.00459399677719616,0.468
"html",896,0.00448390099386466,0.552
"http",2788,0.0139521383603735,0.832
"hundreds",54,0.000270235104540951,0.072
"important",48,0.000240208981814178,0.068
"inserted",4,2.00174151511815e-05,0.006
"insuran",1,5.00435378779538e-06,0.002
"insurance",164,0.000820714021198443,0.102
"investment",122,0.000610531162111037,0.11
"kes",1,5.00435378779538e-06,0.002
"left",331,0.00165644110376027,0.16
"less",58,0.000290252519692132,0.082
"let",76,0.000380330887872449,0.092
"life",223,0.00111597089467837,0.162
"lifequote",1,5.00435378779538e-06,0.002
"list",477,0.0023870767567784,0.46
"lowest",41,0.000205178505299611,0.06
"mail",526,0.00263229009238037,0.338
"mailto",101,0.000505439732567334,0.13
"make",326,0.00163141933482129,0.19
"meta",238,0.0011910362014953,0.244
"minutes",31,0.000155134967421657,0.042
"money",538,0.00269234233783392,0.24
"mshtml",23,0.000115100137119294,0.046
"name",995,0.0049793320188564,0.37
"net",452,0.00226196791208351,0.252
"new",466,0.00233202886511265,0.354
"none",63,0.000315274288631109,0.064
"noshade",25,0.000125108844694885,0.046
"padding",128,0.000640557284837809,0.014
"please",486,0.00243211594086856,0.532
"prohibits",2,1.00087075755908e-05,0.004
"protecting",3,1.50130613633861e-05,0.006
"provide",68,0.000340296057570086,0.098
"ptsize",25,0.000125108844694885,0.008
"public",76,0.000380330887872449,0.112
"quote",50,0.000250217689389769,0.044
"rates",91,0.00045539619468938,0.072
"receipt",9,4.50391840901584e-05,0.018
"remove",228,0.00114099266361735,0.344
"removed",171,0.00085574449771301,0.256
"requesting",20,0.000100087075755908,0.038
"reside",1,5.00435378779538e-06,0.002
"right",485,0.00242711158708076,0.228
"sans",696,0.00348303023630559,0.186
"save",123,0.000615535515898832,0.112
"savequote",1,5.00435378779538e-06,0.002
"saves",2,1.00087075755908e-05,0.004
"savings",29,0.000145126259846066,0.032
"security",91,0.00045539619468938,0.076
"serif",703,0.00351806071282015,0.182
"service",143,0.00071562259165474,0.176
"shop",30,0.000150130613633861,0.054
"simple",107,0.000535465855294106,0.11
"size",3305,0.0165393892686637,0.428
"solicitations",1,5.00435378779538e-06,0.002
"spend",9,4.50391840901584e-05,0.014
"started",56,0.000280243812116541,0.052
"state",223,0.00111597089467837,0.168
"strong",362,0.00181157607118193,0.078
"style",1011,0.00505940167946113,0.19
"table",1531,0.00766166564911473,0.348
"take",135,0.000675587761352377,0.17
"tbody",333,0.00166644981133586,0.1
"text",756,0.00378329146357331,0.414
